original_name,normalized_name,vehicle,generation,year,part_type,position,side,variant,oem_reference,manufacturer,image_source,source_url,usage_status,filename,verification_status,confidence
AILE AV PARTNER BERLINGO 08 D,Aile Avant Droite,Peugeot Partner II / Citroën Berlingo II,2nd Gen (B9),2008-2018,Aile Avant,Avant,Droit (D),Standard (PG15-05R),7841W2 / 7841.W2 / 1608670880,PRASCO / SIGNEDA,PRASCO Catalog / TecAlliance,https://www.prasco.net/en/catalog/peugeot/partner-2008-2018/front-fender-right-7841W2,Duplicate Line of #4 (Catalog Ref),citroen-berlingo-peugeot-partner-2008-2018-front-fender-right.jpg,EXACT MATCH,High (99%)
AILE AV PARTNER BERLINGO 08 G,Aile Avant Gauche,Peugeot Partner II / Citroën Berlingo II,2nd Gen (B9),2008-2018,Aile Avant,Avant,Gauche (G),Standard (PG15-05L),7840W2 / 7840.W2 / 1608670980,PRASCO / SIGNEDA,PRASCO Catalog / TecAlliance,https://www.prasco.net/en/catalog/peugeot/partner-2008-2018/front-fender-left-7840W2,Duplicate Line of #5 (Catalog Ref),citroen-berlingo-peugeot-partner-2008-2018-front-fender-left.jpg,EXACT MATCH,High (99%)
BAGUETTE PHARE PARTNER 96-00 G+D,Baguette Sous Phare Gauche + Droite (Paire),Peugeot Partner I,1st Gen Phase 1 (M49),1996-2000,Baguette Sous Phare,Avant,Gauche + Droit (G+D),Paire complète (Jeu G+D),745178 + 745179 / 7451.78 + 7451.79,SBM / PSA / PRASCO,PRASCO Catalog / SBM Automotive,https://www.prasco.net/en/catalog/peugeot/partner-1996-2000/headlight-trim-pair-745178,Duplicate Line of #11 (Catalog Ref),peugeot-partner-1996-2000-headlight-trim-pair-left-right.jpg,EXACT MATCH,High (98%)
FEU AR BERLINGO 2019 FIAT DOBLO 2023 D,Feu Arrière Droit (2 Portes Battantes / Hayon),Citroën Berlingo III / Fiat Doblò III / Peugeot Partner III / Rifter / Opel Combo E,3rd Gen (K9),2018-2024 (2019 / 2023),Feu Arrière,Arrière,Droit (D),Standard K9 Platform (2 Portes / Hayon),9820554880 / 9819235780,PLEKSAN / VALEO / MAGNETI MARELLI / TYC,VALEO Service / Magneti Marelli Catalog,https://www.valeoservice.com/en/catalog/citroen/berlingo-2018/rear-light-right-047395,Duplicate Line of #33 (Catalog Ref),citroen-berlingo-fiat-doblo-2018-2024-rear-tail-light-right.jpg,EXACT MATCH,High (99%)
FEU AR BERLINGO 2019 FIAT DOBLO 2023 G,Feu Arrière Gauche (2 Portes Battantes / Hayon),Citroën Berlingo III / Fiat Doblò III / Peugeot Partner III / Rifter / Opel Combo E,3rd Gen (K9),2018-2024 (2019 / 2023),Feu Arrière,Arrière,Gauche (G),Standard K9 Platform (2 Portes / Hayon),9819235880 / 9820554980,PLEKSAN / VALEO / MAGNETI MARELLI / TYC,VALEO Service / Magneti Marelli Catalog,https://www.valeoservice.com/en/catalog/citroen/berlingo-2018/rear-light-left-047394,Duplicate Line of #35 (Catalog Ref),citroen-berlingo-fiat-doblo-2018-2024-rear-tail-light-left.jpg,EXACT MATCH,High (99%)
FEU AR PARTNER /BERLINGO 05 NM 2P D,Feu Arrière Droit 2 Portes Battantes Nouveau Modèle,Peugeot Partner I / Citroën Berlingo I,1st Gen Facelift (M59),2002-2008 (NM 2005-2008),Feu Arrière,Arrière,Droit (D),"2 Portes battantes (2P), Glace cristal/rouge (Nouveau Modèle)",6351T8 / 6351.T8,MAD / DEPO / MAGNETI MARELLI / TYC,DEPO Auto Lamp / Magneti Marelli Catalog,https://www.depoautolamp.com/catalog/peugeot/partner-2005/tail-light-552-1924r-ue,Duplicate Line of #39 (Catalog Ref),partner-berlingo-2002-2008-rear-tail-light-right-2-doors-facelift.jpg,EXACT MATCH,High (99%)
FEU AR PARTNER /BERLINGO 05 NM 2P G,Feu Arrière Gauche 2 Portes Battantes Nouveau Modèle,Peugeot Partner I / Citroën Berlingo I,1st Gen Facelift (M59),2002-2008 (NM 2005-2008),Feu Arrière,Arrière,Gauche (G),"2 Portes battantes (2P), Glace cristal/rouge (Nouveau Modèle)",6350T8 / 6350.T8,MAD / DEPO / MAGNETI MARELLI / TYC,DEPO Auto Lamp / Magneti Marelli Catalog,https://www.depoautolamp.com/catalog/peugeot/partner-2005/tail-light-552-1924l-ue,Duplicate Line of #41 (Catalog Ref),partner-berlingo-2002-2008-rear-tail-light-left-2-doors-facelift.jpg,EXACT MATCH,High (99%)
FEU AR PARTNER /BERLINGO 08 2P G,Feu Arrière Gauche 2 Portes Battantes,Peugeot Partner II / Citroën Berlingo II,2nd Gen (B9),2008-2018,Feu Arrière,Arrière,Gauche (G),2 Portes battantes (2P),6350GA / 6350.GA / 9677025580,MAD / VALEO / MAGNETI MARELLI / TYC,VALEO Service / Magneti Marelli Catalog,https://www.valeoservice.com/en/catalog/peugeot/partner-2008/rear-light-left-043885,Duplicate Line of #43 (Catalog Ref),partner-berlingo-2008-2018-rear-tail-light-left-2-doors.jpg,EXACT MATCH,High (99%)
FEU AR PARTNER /BERLINGO 12-15 NOIR 2P G,Feu Arrière Gauche 2 Portes Battantes Masque Noir,Peugeot Partner II / Citroën Berlingo II,2nd Gen Phase 2/3 (B9),2012-2018,Feu Arrière,Arrière,Gauche (G),"2 Portes battantes (2P), Masque intérieur noir (Black Bezel)",1608405180 / 9677025580,MAD / MARS / VALEO / DEPO,VALEO Service / DEPO Catalog,https://www.valeoservice.com/en/catalog/citroen/berlingo-2012/rear-light-left-2doors-black-044877,Duplicate Line of #48 (Catalog Ref),partner-berlingo-2012-2018-rear-tail-light-left-2-doors-black-bezel.jpg,EXACT MATCH,High (99%)
FEU AR PARTNER 05-08 1P D,Feu Arrière Droit 1 Porte / Hayon Nouveau Modèle Cristal,Peugeot Partner I Facelift / Citroën Berlingo I,1st Gen Facelift (M59),2005-2008 (2002-2008),Feu Arrière,Arrière,Droit (D),"1 Porte / Hayon (1P), Glace cristal/rouge (Nouveau Modèle)",6351T7 / 6351.T7,MARS / DEPO / TYC / MAGNETI MARELLI,DEPO Auto Lamp / Magneti Marelli Catalog,https://www.depoautolamp.com/catalog/peugeot/partner-2005/tail-light-tailgate-552-1925r-ue,Duplicate Line of #52 (Catalog Ref),peugeot-partner-2005-2008-rear-tail-light-right-tailgate-facelift.jpg,EXACT MATCH,High (99%)
