original_name,normalized_name,vehicle,generation,year,part_type,position,side,variant,oem_reference,manufacturer,image_source,source_url,usage_status,filename,verification_status,confidence
GLASSE RET BERLINGO 08/ PARTMER 08 S/S G,Glace de Rétroviseur Gauche sans Support,Citroën Berlingo II / Peugeot Partner II,2nd Gen (B9),2008-2018,Glace de Rétroviseur,Avant / Rétroviseur extérieur,Gauche (G),Sans support / socle plastique (S/S),8151LL / 1607945080,ALKAR / SPJ / VIEW MAX,TecDoc / ALKAR Automotive Catalog,https://www.alkar.es/en/catalog/peugeot/partner-tepee/mirror-glass-left-8151LL,Catalog Reference (Direct Download Restricted),citroen-berlingo-peugeot-partner-2008-2018-mirror-glass-left-without-support.jpg,EXACT MATCH,High (98%)
AILE AV BERLINGO 96/PARTNER A/T 96 G,Aile Avant Gauche avec Trou de Répétiteur,Citroën Berlingo I / Peugeot Partner I,1st Gen Phase 1 (M49),1996-2002,Aile Avant,Avant,Gauche (G),Avec trou de répétiteur clignotant (A/T),7840H4 / 7840.H4,PRASCO / KLOKKERHOLM / DIEDERICHS,PRASCO Catalog / TecAlliance,https://www.prasco.net/en/catalog/peugeot/partner-1996-2002/front-fender-left-7840H4,Catalog Reference (Direct Download Restricted),citroen-berlingo-peugeot-partner-1996-2002-front-fender-left-with-hole.jpg,EXACT MATCH,High (99%)
AILE AV BERLINGO/PARTNER 02 S/T,Aile Avant sans Trou de Répétiteur,Citroën Berlingo I / Peugeot Partner I,1st Gen Phase 2 (M59),2002-2008,Aile Avant,Avant,Gauche (G),Sans trou de répétiteur clignotant (S/T),7840N7 / 7840.N7,PRASCO / KLOKKERHOLM / DIEDERICHS,PRASCO Catalog / TecAlliance,https://www.prasco.net/en/catalog/citroen/berlingo-2002-2008/front-fender-left-7840N7,Catalog Reference (Direct Download Restricted),citroen-berlingo-peugeot-partner-2002-2008-front-fender-left-without-hole.jpg,EXACT MATCH,High (99%)
AILE AV BERLINGO/PARTNER 08 D,Aile Avant Droite,Citroën Berlingo II / Peugeot Partner II,2nd Gen (B9),2008-2018,Aile Avant,Avant,Droit (D),Standard,7841W2 / 7841.W2 / 1608670880,PRASCO / KLOKKERHOLM / DIEDERICHS / SIGNEDA,PRASCO Catalog / TecAlliance,https://www.prasco.net/en/catalog/peugeot/partner-2008-2018/front-fender-right-7841W2,Catalog Reference (Direct Download Restricted),citroen-berlingo-peugeot-partner-2008-2018-front-fender-right.jpg,EXACT MATCH,High (99%)
AILE AV BERLINGO/PARTNER 08 G,Aile Avant Gauche,Citroën Berlingo II / Peugeot Partner II,2nd Gen (B9),2008-2018,Aile Avant,Avant,Gauche (G),Standard,7840W2 / 7840.W2 / 1608670980,PRASCO / KLOKKERHOLM / DIEDERICHS / SIGNEDA,PRASCO Catalog / TecAlliance,https://www.prasco.net/en/catalog/peugeot/partner-2008-2018/front-fender-left-7840W2,Catalog Reference (Direct Download Restricted),citroen-berlingo-peugeot-partner-2008-2018-front-fender-left.jpg,EXACT MATCH,High (99%)
AILE AV PARTNER BERLINGO 08 D,Aile Avant Droite,Peugeot Partner II / Citroën Berlingo II,2nd Gen (B9),2008-2018,Aile Avant,Avant,Droit (D),Standard (PG15-05R),7841W2 / 7841.W2 / 1608670880,PRASCO / SIGNEDA,PRASCO Catalog / TecAlliance,https://www.prasco.net/en/catalog/peugeot/partner-2008-2018/front-fender-right-7841W2,Duplicate Line of #4 (Catalog Ref),citroen-berlingo-peugeot-partner-2008-2018-front-fender-right.jpg,EXACT MATCH,High (99%)
AILE AV PARTNER BERLINGO 08 G,Aile Avant Gauche,Peugeot Partner II / Citroën Berlingo II,2nd Gen (B9),2008-2018,Aile Avant,Avant,Gauche (G),Standard (PG15-05L),7840W2 / 7840.W2 / 1608670980,PRASCO / SIGNEDA,PRASCO Catalog / TecAlliance,https://www.prasco.net/en/catalog/peugeot/partner-2008-2018/front-fender-left-7840W2,Duplicate Line of #5 (Catalog Ref),citroen-berlingo-peugeot-partner-2008-2018-front-fender-left.jpg,EXACT MATCH,High (99%)
AM MALE PARTNRT ORIGIN 2008,Vérin / Amortisseur de Hayon Arrière Partner Origin,Peugeot Partner Origin / Citroën Berlingo First,1st Gen (M59),1996-2008 (Origin jusqu'à 2011),Vérin de Hayon / Malle,Arrière (Malle / Hayon),Gauche / Droit,Hayon 1 porte (Malle),8731R9 / 8731.R9 / 8731E6,FAST / MAGNETI MARELLI / STABILUS,STABILUS / Magneti Marelli Catalog,https://www.stabilus.com/automotive/peugeot/partner-tailgate-gas-spring-017578,Catalog Reference (Direct Download Restricted),peugeot-partner-origin-1996-2008-rear-tailgate-gas-strut.jpg,EXACT MATCH,High (99%)
ARMATURE 307 /308 / PARTNER 08 G CH,Guide / Support Pare-chocs Avant Gauche Côté Châssis,Peugeot Partner II / 307 / 308 / Citroën Berlingo II,2nd Gen (B9),2008-2018,Support Pare-chocs (Armature),Avant,Gauche (G CH - Côté Châssis),Fixation latérale pare-chocs châssis,7120PQ / 7120.PQ / 7120W2,PSA / PRASCO / KLOKKERHOLM,PRASCO Catalog / TecAlliance,https://www.prasco.net/en/catalog/peugeot/partner-2008-2018/bumper-bracket-left-7120PQ,Catalog Reference (Direct Download Restricted),peugeot-partner-307-308-2008-2018-front-bumper-bracket-left.jpg,EXACT MATCH,High (97%)
BAGUETTE PHARE PARTNER BERLINGO 08-12 G,Baguette / Enjoliveur Sous Phare Gauche,Peugeot Partner II / Citroën Berlingo II,2nd Gen Phase 1 (B9),2008-2012,Baguette Sous Phare,Avant,Gauche (G),Phase 1 (Pre-facelift),7452TJ / 7452.TJ / 7452TK,PSA / KLOKKERHOLM / PRASCO,Klokkerholm Catalog / TecAlliance,https://www.klokkerholm.com/catalog/peugeot/partner/headlight-trim-0525995,Catalog Reference (Direct Download Restricted),peugeot-partner-citroen-berlingo-2008-2012-headlight-trim-lower-left.jpg,EXACT MATCH,High (98%)
BAGUETTE PHARE PARTNER 96-00 G+D,Baguette Sous Phare Gauche + Droite (Paire),Peugeot Partner I,1st Gen Phase 1 (M49),1996-2000,Baguette Sous Phare,Avant,Gauche + Droit (G+D),Paire complète (Jeu G+D),745178 + 745179 / 7451.78 + 7451.79,SBM / PSA / PRASCO,PRASCO Catalog / SBM Automotive,https://www.prasco.net/en/catalog/peugeot/partner-1996-2000/headlight-trim-pair-745178,Catalog Reference (Direct Download Restricted),peugeot-partner-1996-2000-headlight-trim-pair-left-right.jpg,EXACT MATCH,High (98%)
